  38  43  81   4.2547  0.0034                    81,43,0.236,0.006,4.2547,0.0034
  38  44  82   4.2478  0.0030                    82,44,0.182,0.006,4.2478,0.0030
  38  45  83   4.2455  0.0027                    83,45,0.165,0.004,4.2455,0.0027
  38  46  84   4.2394  0.0024                    84,46,0.118,0.003,4.2394,0.0024
  38  47  85   4.2304  0.0021                    85,47,0.049,0.003,4.2304,0.0021
  38  48  86   4.2307  0.0020                    86,48,0.051,0.002,4.2307,0.0020
  38  49  87   4.2249  0.0019                    87,49,0.007,0.002,4.2249,0.0019
  38  50  88   4.2240  0.0018                    88,50,0,0,4.2240,0.0018
  38  51  89   4.2407  0.0023                    89,51,0.126,0.001,4.2407,0.0023
  38  52  90   4.2611  0.0037                    90,52,0.282,0.004,4.2611,0.0037
  38  53  91   4.2740  0.0046                    91,53,0.381,0.003,4.2740,0.0046
  38  54  92   4.2924  0.0064                    92,54,0.522,0.005,4.2924,0.0064
  38  55  93   4.3026  0.0075                    93,55,0.601,0.004,4.3026,0.0075
  38  56  94   4.3191  0.0091                    94,56,0.728,0.006,4.3191,0.0091
  38  57  95   4.3305  0.0102                    95,57,0.817,0.005,4.3305,0.0102
  38  58  96   4.3522  0.0125                    96,58,0.986,0.006,4.3522,0.0125
  38  59  97   4.3625  0.0135                    97,59,1.067,0.007,4.3625,0.0135
  38  60  98   4.4377  0.0214                    98,60,1.656,0.006,4.4377,0.0214
  38  61  99   4.4495  0.0226                    99,61,1.750,0.008,4.4495,0.0226
  38  62 100   4.4640  0.0240                    100,62,1.867,0.015,4.4640,0.0240
  39  47  86   4.2513  0.0023                    86,47,0.071,0.003,4.2513,0.0023
  39  48  87   4.2498  0.0022                    87,48,0.058,0.002,4.2498,0.0022
  39  49  88   4.2441  0.0021                    88,49,0.009,0.001,4.2441,0.0021
  39  50  89   4.2430  0.0021                    89,50,0,0,4.2430,0.0021
  39  51  90   4.2573  0.0026                    90,51,0.123,0.001,4.2573,0.0026
  39  53  92   4.2887  0.0050                    92,53,0.393,0.001,4.2887,0.0050
  39  54  93   4.3052  0.0065                    93,54,0.537,0.002,4.3052,0.0065
  39  55  94   4.3142  0.0074                    94,55,0.614,0.001,4.3142,0.0074
  39  56  95   4.3284  0.0087                    95,56,0.738,0.002,4.3284,0.0087
  39  57  96   4.3402  0.0099                    96,57,0.840,0.001,4.3402,0.0099
  39  58  97   4.3580  0.0116                    97,58,0.996,0.002,4.3580,0.0116
  39  59  98   4.3711  0.0129                    98,59,1.110,0.001,4.3711,0.0129
  39  60  99   4.4658  0.0223                    99,60,1.943,0.001,4.4658,0.0223
  39  61 100   4.4705  0.0228                    100,61,1.985,0.001,4.4705,0.0228
  39  62 101   4.4863  0.0244                    101,62,2.127,0.001,4.4863,0.0244
  39  63 102   4.4911  0.0249                    102,63,2.173,0.002,4.4911,0.0249
  40  47  87   4.2789  0.0030                    87,47,0.059,0.005,4.2789,0.0030
  40  48  88   4.2787  0.0025                    88,48,0.061,0.005,4.2787,0.0025
  40  49  89   4.2706  0.0010                    89,49,0.006,0.005,4.2706,0.0010
  40  50  90   4.2694  0.0010                    90,50,0,0,4.2694,0.0010
  40  51  91   4.2845  0.0013                    91,51,0.132,0.003,4.2845,0.0013
  40  52  92   4.3057  0.0013                    92,52,0.314,0.004,4.3057,0.0013
  40  54  94   4.3320  0.0013                    94,54,0.546,0.003,4.3320,0.0013
  40  56  96   4.3512  0.0015                    96,56,0.72,0.006,4.3512,0.0015
  40  57  97   4.3792  0.0136                    97,57,0.835,0.005,4.3792,0.0136
  40  58  98   4.4012  0.0164                    98,58,1.002,0.005,4.4012,0.0164
  40  59  99   4.4156  0.0181                    99,59,1.113,0.004,4.4156,0.0181
  40  60 100   4.4891  0.0289                    100,60,1.669,0.004,4.4891,0.0289
  40  61 101   4.5119  0.0318                    101,61,1.847,0.005,4.5119,0.0318
  40  62 102   4.5292  0.0340                    102,62,1.983,0.005,4.5292,0.0340
  41  49  90   4.2891  0.0040                    90,49,-0.301,0.004,4.2891,0.0040
  41  50  91   4.2878  0.0040                    91,50,-0.312,0.001,4.2878,0.0040
  41  51  92   4.3026  0.0043                    92,51,-0.185,0.002,4.3026,0.0043
  41  52  93   4.3240  0.0017                    93,52,0,0,4.3240,0.0017
  41  58  99   4.4062  0.0125                    99,58,0.716,0.009,4.4062,0.0125
  41  60 101   4.4861  0.0203                    101,60,1.419,0.002,4.4861,0.0203
  41  62 103   4.5097  0.0227                    103,62,1.630,0.002,4.5097,0.0227
  42  48  90   4.3265  0.0016                    90,48,0.113,0.001,4.3265,0.0016
  42  49  91   4.3182  0.0012                    91,49,0.033,0.002,4.3182,0.0012
  42  50  92   4.3151  0.0012                    92,50,0,0,4.3151,0.0012
  42  52  94   4.3529  0.0013                    94,52,0.334,0.001,4.3529,0.0013
  42  53  95   4.3628  0.0018                    95,53,0.421,0.001,4.3628,0.0018
  42  54  96   4.3847  0.0015                    96,54,0.617,0.001,4.3847,0.0015
  42  55  97   4.3880  0.0015                    97,55,0.644,0.001,4.3880,0.0015
  42  56  98   4.4091  0.0018                    98,56,0.834,0.001,4.4091,0.0018
  42  58 100   4.4468  0.0025                    100,58,1.177,0.001,4.4468,0.0025
  42  60 102   4.4914  0.0038                    102,60,1.585,0.003,4.4914,0.0038
  42  61 103   4.5145  0.0046                    103,61,1.798,0.003,4.5145,0.0046
  42  62 104   4.5249  0.0051                    104,62,1.893,0.002,4.5249,0.0051
  42  63 105   4.5389  0.0057                    105,63,2.021,0.003,4.5389,0.0057
  42  64 106   4.5490  0.0058                    106,64,2.113,0.003,4.5490,0.0058
  42  66 108   4.5602  0.0067                    108,66,2.213,0.003,4.5602,0.0067
  44  52  96   4.3908  0.0047                    96,52,-1.069,0.003,4.3908,0.0047
  44  54  98   4.4229  0.0055                    98,54,-0.772,0.005,4.4229,0.0055
  44  55  99   4.4338  0.0042                    99,55,-0.68,0.004,4.4338,0.0042
  44  56 100   4.4531  0.0031                    100,56,-0.506,0.003,4.4531,0.0031
  44  57 101   4.4606  0.0020                    101,57,-0.444,0.005,4.4606,0.0020
  44  58 102   4.4809  0.0018                    102,58,-0.263,0.004,4.4809,0.0018
  44  60 104   4.5098  0.0020                    104,60,0,0,4.5098,0.0020
  45  58 103   4.4945  0.0023                    103,58,,,4.4945,0.0023
  46  56 102   4.4827  0.0044                    102,56,-0.675,0.003,4.4827,0.0044
  46  58 104   4.5078  0.0027                    104,58,-0.445,0.002,4.5078,0.0027
  46  59 105   4.5150  0.0030                    105,59,-0.377,0.002,4.5150,0.0030
  46  60 106   4.5318  0.0029                    106,60,-0.227,0.001,4.5318,0.0029
  46  62 108   4.5563  0.0027                    108,62,0,0,4.5563,0.0027
  46  64 110   4.5782  0.0030                    110,64,0.205,0.001,4.5782,0.0030
  47  54 101   4.4799  0.0088                    101,54,-0.670,0.003,4.4799,0.0088
  47  56 103   4.5036  0.0065                    103,56,-0.482,0.002,4.5036,0.0065
  47  57 104   4.5119  0.0058                    104,57,-0.416,0.002,4.5119,0.0058
  47  58 105   4.5269  0.0045                    105,58,-0.296,0.002,4.5269,0.0045
  47  60 107   4.5454  0.0031                    107,60,-0.148,0.001,4.5454,0.0031
  47  62 109   4.5638  0.0025                    109,62,0,0,4.5638,0.0025
  48  54 102   4.4810  0.0122                    102,54,-1.010,0.045,4.4810,0.0122
  48  55 103   4.4951  0.0105                    103,55,-0.901,0.027,4.4951,0.0105
